,단어명,사회1분기빈도수,사회2분기빈도수,사회3분기빈도수,사회4분기빈도수,총빈도수
749,투약,9,10,5,6,30
1063,김기춘,6,2,18,4,30
840,원룸,8,10,8,4,30
423,시절,14,8,6,2,30
507,정체,13,3,9,5,30
422,강제추행,14,4,10,2,30
524,미국,12,12,5,1,30
1091,주말,6,9,14,1,30
912,신체,7,5,7,11,30
555,전화,12,9,5,4,30
668,아동학대,10,4,11,5,30
1487,음성,4,10,12,4,30
643,동물,10,6,9,5,30
504,협조,13,6,8,3,30
629,부족,11,6,9,4,30
626,선언,11,8,8,3,30
1368,응급실,5,5,14,6,30
1076,주식,6,10,9,5,30
515,발령,12,8,9,1,30
816,소득,8,5,10,7,30
1017,화물차,6,8,11,5,30
601,대화,11,10,4,5,30
611,파면,11,12,3,4,30
967,변경,7,9,12,2,30
615,이혼,11,9,5,5,30
371,안태,16,11,2,1,30
1684,전두환,3,14,11,2,30
1101,실시,6,5,14,5,30
1287,침입,5,13,10,2,30
798,임원,8,11,7,4,30
826,생활,8,11,6,4,29
919,영업,7,4,11,7,29
342,대학가,17,6,4,2,29
1312,개발,5,8,10,6,29
834,제공,8,9,9,3,29
1591,회원,4,12,7,6,29
901,속출,7,3,14,5,29
707,첫날,9,6,12,2,29
568,여경,12,4,8,5,29
1141,전과,6,9,11,3,29
623,철회,11,12,4,2,29
617,공공기관,11,4,11,3,29
1751,노후,3,11,4,11,29
878,출근,8,6,11,4,29
743,비난,9,7,7,6,29
1256,무면허,5,10,12,2,29
1932,인력,2,14,9,4,29
226,친부,23,2,2,2,29
449,선임,14,7,7,1,29
429,사위,14,3,4,8,29
409,학년,15,4,7,3,29
794,주변,8,10,6,5,29
965,심각,7,11,7,4,29
667,농성,10,11,6,2,29
1246,감정,5,8,5,11,29
991,만원,7,6,10,6,29
1420,동원,4,14,7,4,29
1329,핵심,5,9,9,6,29
1511,귀국,4,13,6,6,29
1418,지자체,4,4,12,8,28
452,수수,14,4,7,3,28
771,경험,9,11,6,2,28
1040,가스,6,16,1,5,28
625,무슨,11,8,5,4,28
897,영향,7,9,7,5,28
1039,퇴직,6,9,9,4,28
1030,고객,6,9,7,6,28
1463,기술,4,9,7,8,28
299,예술,18,2,4,4,28
387,위원장,15,2,6,5,28
612,교장,11,7,6,4,28
774,가구,9,8,10,1,28
814,강원,8,4,12,4,28
1752,보좌,3,15,9,1,28
684,증인,10,6,7,5,28
633,선물,10,9,8,1,28
698,상고,10,10,7,1,28
1083,소리,6,11,10,1,28
923,로스쿨,7,16,3,2,28
652,유지,10,9,5,4,28
514,치매,12,5,7,4,28
1747,개정,3,8,14,3,28
541,검증,12,5,3,8,28
1264,밀수,5,9,10,4,28
733,돼지,9,3,12,4,28
1227,고통,5,2,14,7,28
1159,자격,6,11,6,5,28
490,군산,13,4,8,3,28
560,지지,12,7,7,2,28
348,강릉,17,3,6,2,28
489,본부,13,6,7,2,28
487,여직원,13,8,4,3,28
837,통제,8,5,9,6,28
579,사연,11,9,3,5,28
445,대학교,14,1,8,4,27
529,방문,12,5,6,4,27
454,유기,14,6,4,3,27
572,조카,12,9,4,2,27
1731,돌진,3,10,9,5,27
562,소동,12,3,10,2,27
403,치사,15,1,6,5,27
543,적극,12,9,3,3,27
914,일본,7,8,9,3,27
1120,대가,6,7,5,9,27
975,산재,7,8,9,3,27
1023,고양이,6,8,11,2,27
705,영화,9,7,5,6,27
773,이름,9,3,6,9,27
738,필로폰,9,10,4,4,27
642,자매,10,4,7,6,27
789,기부,8,10,5,4,27
693,사인,10,3,11,3,27
674,상가,10,5,9,3,27
1371,온라인,4,11,8,4,27
622,폭탄,11,7,8,1,27
2432,노량진,1,4,6,16,27
1327,반려동물,5,1,15,6,27
1218,엄벌,5,6,5,11,27
1750,방안,3,7,7,10,27
942,통과,7,8,8,3,26
