,단어명,세계빈도수,조선빈도수,한겨레빈도수,총빈도수
912,존재,6,5,9,20
600,변호인,15,2,3,20
872,당일,7,7,6,20
742,신속,11,5,4,20
861,과태료,7,5,8,20
725,외부,11,6,3,20
710,방법,12,4,4,20
552,기각,17,1,2,20
822,눈길,9,5,6,20
682,동영상,12,5,3,20
842,눈치,8,10,1,19
862,금융,7,6,6,19
865,주시,7,8,4,19
806,미흡,9,6,4,19
871,예방,7,6,6,19
789,퇴장,9,6,4,19
778,낙마,10,8,1,19
878,도종환,7,9,3,19
889,부당,7,5,7,19
647,신중,14,3,2,19
807,격려,9,8,2,19
834,폭력,8,4,7,19
940,부분,5,10,4,19
583,항소,16,2,1,19
961,동북아,4,7,8,19
693,철저,12,1,6,19
886,기금,7,10,1,18
738,혼선,11,4,3,18
829,지연,8,8,2,18
836,용기,8,5,5,18
812,관행,9,4,5,18
824,초점,9,3,5,17
937,경험,6,7,4,17
915,냉전,6,5,6,17
827,극복,8,5,4,17
818,발끈,9,4,4,17
884,광고,7,7,3,17
844,중도,8,6,3,17
823,뒷받침,9,3,5,17
803,시급,9,6,2,17
830,파탄,8,8,1,17
887,화합,7,7,3,17
903,특보,6,7,3,16
944,후퇴,5,8,3,16
720,김어준,11,3,2,16
833,취하,8,5,3,16
914,이익,6,7,3,16
838,근거,8,6,2,16
659,안민석,13,1,2,16
745,정우택,11,3,2,16
847,분열,8,4,4,16
792,대국민,9,5,2,16
748,곤란,11,2,3,16
932,인기,6,8,2,16
948,사이버,5,6,5,16
922,실수,6,8,2,16
756,고개,10,5,1,16
779,수락,10,4,2,16
967,타격,4,9,3,16
897,크게,7,5,3,15
943,활용,5,4,6,15
941,반격,5,5,5,15
908,회사,6,7,2,15
757,방해,10,2,3,15
920,육성,6,4,5,15
895,최후,7,4,4,15
785,관건,10,4,1,15
820,무능,9,4,2,15
950,공백,5,7,3,15
819,온도,9,4,2,15
839,기도,8,4,3,15
958,독대,5,7,3,15
892,참여연대,7,7,1,15
802,보기,9,5,1,15
866,기조,7,5,3,15
730,류여해,11,2,2,15
849,기원,8,4,3,15
841,난항,8,5,2,15
